路上	lù shang - on the road; on a journey; road surface
lù shang	路上 - on the road; on a journey; road surface
l_ shang (路上)	路上 - lù shang
路	lù - road; CL:條|条[tiao2]; journey; route
lù	路 - road; CL:條|条[tiao2]; journey; route
l_ (路)	路 - lù
有时候	yǒu shí hou - sometimes
yǒu shí hou	有时候 - sometimes
y_u sh_ hou (有时候)	有时候 - yǒu shí hou
有时	yǒu shí - sometimes; now and then
yǒu shí	有时 - sometimes; now and then
y_u sh_ (有时)	有时 - yǒu shí
有	yǒu - to have; there is; there are; to exist
yǒu	有 - to have; there is; there are; to exist
y_u (有)	有 - yǒu
难	nán - difficult (to...); problem; difficulty; difficult
nán	难 - difficult (to...); problem; difficulty; difficult
n_n (难)	难 - nán
什么时候	shén me shí hou - when?; at what time?
shén me shí hou	什么时候 - when?; at what time?
sh_n me sh_ hou (什么时候)	什么时候 - shén me shí hou
再	zài - again; once more; re-; second
zài	再 - again; once more; re-; second
z_i (再)	再 - zài
天气	tiān qì - weather
tiān qì	天气 - weather
ti_n q_ (天气)	天气 - tiān qì
刚	gāng - hard; firm; strong; just
gāng	刚 - hard; firm; strong; just
g_ng (刚)	刚 - gāng
小学	xiǎo xué - elementary school; primary school; CL:個|个[ge4]
xiǎo xué	小学 - elementary school; primary school; CL:個|个[ge4]
xi_o xu_ (小学)	小学 - xiǎo xué
小	xiǎo - small; tiny; few; young
xiǎo	小 - small; tiny; few; young
xi_o (小)	小 - xiǎo
年级	nián jí - grade; year (in school, college etc); CL:個|个[ge4]
nián jí	年级 - grade; year (in school, college etc); CL:個|个[ge4]
ni_n j_ (年级)	年级 - nián jí
年	nián - year; CL:個|个[ge4]
nián	年 - year; CL:個|个[ge4]
ni_n (年)	年 - nián
美	měi - beautiful; very satisfactory; good; to be pleased with oneself
měi	美 - beautiful; very satisfactory; good; to be pleased with oneself
m_i (美)	美 - měi
常	cháng - always; ever; often; frequently
cháng	常 - always; ever; often; frequently
ch_ng (常)	常 - cháng
遗失	yí shī - to lose; lost
yí shī	遗失 - to lose; lost
y_ sh_ (遗失)	遗失 - yí shī
遗	yí - to lose; to leave behind; to omit; to bequeath
yí	遗 - to lose; to leave behind; to omit; to bequeath
y_ (遗)	遗 - yí
许多	xǔ duō - many; a lot of; much
xǔ duō	许多 - many; a lot of; much
x_ du_ (许多)	许多 - xǔ duō
天	tiān - day; sky; heaven
tiān	天 - day; sky; heaven
ti_n (天)	天 - tiān
许	xǔ - to allow; to permit; to promise; to praise
xǔ	许 - to allow; to permit; to promise; to praise
x_ (许)	许 - xǔ
文具	wén jù - stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)
wén jù	文具 - stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)
w_n j_ (文具)	文具 - wén jù
文	wén - language; culture; writing; formal
wén	文 - language; culture; writing; formal
w_n (文)	文 - wén
用品	yòng pǐn - articles for use; products; goods
yòng pǐn	用品 - articles for use; products; goods
y_ng p_n (用品)	用品 - yòng pǐn
用	yòng - to use; to employ; to have to; to eat or drink
yòng	用 - to use; to employ; to have to; to eat or drink
y_ng (用)	用 - yòng
于是	yú shì - thereupon; as a result; consequently; thus
yú shì	于是 - thereupon; as a result; consequently; thus
y_ sh_ (于是)	于是 - yú shì
于	yú - to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]
yú	于 - to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]
y_ (于)	于 - yú
许多	xǔ duō - many; a lot of; much
xǔ duō	许多 - many; a lot of; much
x_ du_ (许多)	许多 - xǔ duō
许	xǔ - to allow; to permit; to promise; to praise
xǔ	许 - to allow; to permit; to promise; to praise
x_ (许)	许 - xǔ
自	zì - from; self; oneself; since
zì	自 - from; self; oneself; since
z_ (自)	自 - zì
还	hái - still; still in progress; still more; yet
hái	还 - still; still in progress; still more; yet
h_i (还)	还 - hái
黏	nián - sticky; glutinous; to adhere; to stick
nián	黏 - sticky; glutinous; to adhere; to stick
ni_n (黏)	黏 - nián
标签	biāo qiān - label; tag; tab (of a window) (computing)
biāo qiān	标签 - label; tag; tab (of a window) (computing)
bi_o qi_n (标签)	标签 - biāo qiān
标	biāo - the topmost branches of a tree; surface; sign; to mark
biāo	标 - the topmost branches of a tree; surface; sign; to mark
bi_o (标)	标 - biāo
把	bǎ - to hold; to contain; to grasp; to take hold of
bǎ	把 - to hold; to contain; to grasp; to take hold of
b_ (把)	把 - bǎ
东西	dōng xi - thing; stuff; person; CL:個|个[ge4],件[jian4]
dōng xi	东西 - thing; stuff; person; CL:個|个[ge4],件[jian4]
d_ng xi (东西)	东西 - dōng xi
贴	tiē - to stick; to paste; to post (e.g. on a blog); to keep close to
tiē	贴 - to stick; to paste; to post (e.g. on a blog); to keep close to
ti_ (贴)	贴 - tiē
名字	míng zi - name (of a person or thing); CL:個|个[ge4]
míng zi	名字 - name (of a person or thing); CL:個|个[ge4]
m_ng zi (名字)	名字 - míng zi
名	míng - name; noun (part of speech); place (e.g. among winners); famous
míng	名 - name; noun (part of speech); place (e.g. among winners); famous
m_ng (名)	名 - míng
并	bìng - and; furthermore; also; together with
bìng	并 - and; furthermore; also; together with
b_ng (并)	并 - bìng
郑重	zhèng zhòng - serious; solemn
zhèng zhòng	郑重 - serious; solemn
zh_ng zh_ng (郑重)	郑重 - zhèng zhòng
冷	lěng - cold
lěng	冷 - cold
l_ng (冷)	冷 - lěng
郑	Zhèng - Zheng state during the Warring States period; surname Zheng; abbr. for 鄭州|郑州[Zheng4 zhou1]
Zhèng	郑 - Zheng state during the Warring States period; surname Zheng; abbr. for 鄭州|郑州[Zheng4 zhou1]
Zh_ng (郑)	郑 - Zhèng
告诉	gào su - to tell; to inform; to let know
gào su	告诉 - to tell; to inform; to let know
g_o su (告诉)	告诉 - gào su
告	gào - to tell; to inform; to say
gào	告 - to tell; to inform; to say
g_o (告)	告 - gào
贴	tiē - to stick; to paste; to post (e.g. on a blog); to keep close to
tiē	贴 - to stick; to paste; to post (e.g. on a blog); to keep close to
ti_ (贴)	贴 - tiē
就是	jiù shì - (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even
jiù shì	就是 - (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even
ji_ sh_ (就是)	就是 - jiù shì
就	jiù - at once; right away; only; just (emphasis)
jiù	就 - at once; right away; only; just (emphasis)
ji_ (就)	就 - jiù
不会	bù huì - improbable; unlikely; will not (act, happen etc); not able
bù huì	不会 - improbable; unlikely; will not (act, happen etc); not able
b_ hu_ (不会)	不会 - bù huì
不	bù - (negative prefix); not; no
bù	不 - (negative prefix); not; no
b_ (不)	不 - bù
丢	diū - to lose; to put aside; to throw
diū	丢 - to lose; to put aside; to throw
di_ (丢)	丢 - diū
别人	bié ren - other people; others; other person
bié ren	别人 - other people; others; other person
bi_ ren (别人)	别人 - bié ren
商场	shāng chǎng - shopping mall; shopping center; department store; emporium
shāng chǎng	商场 - shopping mall; shopping center; department store; emporium
sh_ng ch_ng (商场)	商场 - shāng chǎng
别	bié - to leave; to depart; to separate; to distinguish
bié	别 - to leave; to depart; to separate; to distinguish
bi_ (别)	别 - bié
捡	jiǎn - to pick up; to collect; to gather
jiǎn	捡 - to pick up; to collect; to gather
ji_n (捡)	捡 - jiǎn
还给	huán gěi - to return sth to sb
huán gěi	还给 - to return sth to sb
hu_n g_i (还给)	还给 - huán gěi
还	hái - still; still in progress; still more; yet
hái	还 - still; still in progress; still more; yet
h_i (还)	还 - hái
连忙	lián máng - promptly; at once
lián máng	连忙 - promptly; at once
li_n m_ng (连忙)	连忙 - lián máng
连	lián - to link; to join; to connect; continuously
lián	连 - to link; to join; to connect; continuously
li_n (连)	连 - lián
写	xiě - to write
xiě	写 - to write
xi_ (写)	写 - xiě
张	zhāng - to open up; to spread; sheet of paper; classifier for flat objects, sheet
zhāng	张 - to open up; to spread; sheet of paper; classifier for flat objects, sheet
zh_ng (张)	张 - zhāng
标签	biāo qiān - label; tag; tab (of a window) (computing)
biāo qiān	标签 - label; tag; tab (of a window) (computing)
bi_o qi_n (标签)	标签 - biāo qiān
标	biāo - the topmost branches of a tree; surface; sign; to mark
biāo	标 - the topmost branches of a tree; surface; sign; to mark
bi_o (标)	标 - biāo
商	shāng - commerce; merchant; dealer; to consult
shāng	商 - commerce; merchant; dealer; to consult
sh_ng (商)	商 - shāng
脸颊	liǎn jiá - cheek
liǎn jiá	脸颊 - cheek
li_n ji_ (脸颊)	脸颊 - liǎn jiá
脸	liǎn - face; CL:張|张[zhang1],個|个[ge4]
liǎn	脸 - face; CL:張|张[zhang1],個|个[ge4]
li_n (脸)	脸 - liǎn
及	jí - and; to reach; up to; in time for
jí	及 - and; to reach; up to; in time for
j_ (及)	及 - jí
宣布	xuān bù - to declare; to announce; to proclaim
xuān bù	宣布 - to declare; to announce; to proclaim
xu_n b_ (宣布)	宣布 - xuān bù
宣	xuān - to declare (publicly); to announce
xuān	宣 - to declare (publicly); to announce
xu_n (宣)	宣 - xuān
不许	bù xǔ - not to allow; must not; can't
bù xǔ	不许 - not to allow; must not; can't
b_ x_ (不许)	不许 - bù xǔ
不	bù - (negative prefix); not; no
bù	不 - (negative prefix); not; no
b_ (不)	不 - bù
抢	qiǎng - to fight over; to rush; to scramble; to grab
qiǎng	抢 - to fight over; to rush; to scramble; to grab
qi_ng (抢)	抢 - qiǎng
江	jiāng - river; CL:條|条[tiao2],道[dao4]
jiāng	江 - river; CL:條|条[tiao2],道[dao4]
ji_ng (江)	江 - jiāng
苹	píng - apple
píng	苹 - apple
p_ng (苹)	苹 - píng
冰糕	bīng gāo - ice-cream; popsicle; ice-lolly; sorbet
bīng gāo	冰糕 - ice-cream; popsicle; ice-lolly; sorbet
b_ng g_o (冰糕)	冰糕 - bīng gāo
中学	zhōng xué - middle school; CL:個|个[ge4]
zhōng xué	中学 - middle school; CL:個|个[ge4]
zh_ng xu_ (中学)	中学 - zhōng xué
中	zhōng - within; among; in; middle
zhōng	中 - within; among; in; middle
zh_ng (中)	中 - zhōng
同学	tóng xué - to study at the same school; fellow student; classmate; CL:位[wei4],個|个[ge4]
tóng xué	同学 - to study at the same school; fellow student; classmate; CL:位[wei4],個|个[ge4]
t_ng xu_ (同学)	同学 - tóng xué
同	tóng - like; same; similar; together
tóng	同 - like; same; similar; together
t_ng (同)	同 - tóng
全班	quán bān - the whole class
quán bān	全班 - the whole class
qu_n b_n (全班)	全班 - quán bān
全	quán - all; whole; entire; every
quán	全 - all; whole; entire; every
qu_n (全)	全 - quán
非常	fēi cháng - unusual; extraordinary; extreme; very
fēi cháng	非常 - unusual; extraordinary; extreme; very
f_i ch_ng (非常)	非常 - fēi cháng
非	fēi - to not be; not; wrong; incorrect
fēi	非 - to not be; not; wrong; incorrect
f_i (非)	非 - fēi
努力	nǔ lì - great effort; to strive; to try hard
nǔ lì	努力 - great effort; to strive; to try hard
n_ l_ (努力)	努力 - nǔ lì
努	nǔ - to exert; to strive
nǔ	努 - to exert; to strive
n_ (努)	努 - nǔ
冰	bīng - ice; CL:塊|块[kuai4]; methamphetamine (slang)
bīng	冰 - ice; CL:塊|块[kuai4]; methamphetamine (slang)
b_ng (冰)	冰 - bīng
班	bān - team; class; squad; work shift
bān	班 - team; class; squad; work shift
b_n (班)	班 - bān
最好	zuì hǎo - best; (you) had better (do what we suggest)
zuì hǎo	最好 - best; (you) had better (do what we suggest)
zu_ h_o (最好)	最好 - zuì hǎo
学生	xué sheng - student; schoolchild
xué sheng	学生 - student; schoolchild
xu_ sheng (学生)	学生 - xué sheng
学	xué - to learn; to study; to imitate; science
xué	学 - to learn; to study; to imitate; science
xu_ (学)	学 - xué
玩儿	wán r - to play; to have fun; to hang out
wán r	玩儿 - to play; to have fun; to hang out
w_n r (玩儿)	玩儿 - wán r
玩	wán - toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to play
wán	玩 - toy; sth used for amusement; curio or antique (Taiwan pr. [wan4]); to play
w_n (玩)	玩 - wán
还	hái - still; still in progress; still more; yet
hái	还 - still; still in progress; still more; yet
h_i (还)	还 - hái
常常	cháng cháng - frequently; usually; often
cháng cháng	常常 - frequently; usually; often
ch_ng ch_ng (常常)	常常 - cháng cháng
常	cháng - always; ever; often; frequently
cháng	常 - always; ever; often; frequently
ch_ng (常)	常 - cháng
帮助	bāng zhù - assistance; aid; to help; to assist
bāng zhù	帮助 - assistance; aid; to help; to assist
b_ng zh_ (帮助)	帮助 - bāng zhù
